iter	RMSE
0	9.396541903
1	7.13450924
2	6.0589851
3	5.866964046
4	5.551675213
5	5.538469058
6	5.415602122
7	5.359025472
8	5.331917895
9	5.318406269
10	5.311438617
11	5.31073637
12	5.310530759
13	5.310462459
14	5.306906076
15	5.305176268
16	5.30430083
17	5.303843554
18	5.303598999
19	5.30356326
20	5.303440319
21	5.303376375
22	5.303342281
23	5.303323779
24	5.303313615
25	5.303307985
26	5.30330485
27	5.303303097
28	5.303302645
29	5.303301827
30	5.303301391
31	5.303301153
32	5.303301023
33	5.303300996
34	5.303300933
35	5.303300899
36	5.303300881
37	5.303300871
38	5.303300866
39	5.303300863
40	5.303300861
41	5.30330086
42	5.30330086
43	5.303300859
44	5.303300859
45	5.303300859
46	5.303300859
47	5.303300859
48	5.303300859
49	5.303300859
50	5.303300859
51	5.303300859
52	5.303300859
53	5.303300859
54	5.303300859
55	5.303300859
56	4.296164134
57	4.252526363
58	4.217994938
59	3.158428753
60	3.154120662
61	3.151767958
62	3.150470147
63	3.149749384
64	3.149347299
65	3.149019215
66	3.148938221
67	3.14889282
68	3.148855593
69	3.14884642
70	3.148838888
71	3.148837034
72	3.148835991
73	3.148835405
74	3.148835076
75	3.14883489
76	3.148834786
77	3.148834728
78	3.148834695
79	3.148834676
80	3.148834666
81	3.148834661
82	3.148834655
83	3.148834653
84	3.148834653
85	3.148834652
86	3.148834652
87	3.148834652
88	3.148834652
89	3.148834652
90	3.148834652
91	3.148834652
92	3.148834652
93	3.148834652
94	3.148834652
95	3.148834652
96	3.148834652
97	3.148834652
98	3.148834652
99	3.148834652
100	3.148834652
101	3.148834652
102	3.148834652
103	3.148834652
104	3.148834652
105	3.148834652
106	3.148834652
107	3.148834652
108	3.148834652
109	3.148834652
110	3.148834652
111	3.148834652
112	3.148834652
113	3.148834652
114	3.148834652
115	3.148834652
116	3.148834652
117	3.148834652
118	3.148834652
119	3.148834652
120	3.148834652
121	3.148834652
122	3.148834652
123	3.148834652
124	3.148834652
125	3.148834652
126	3.148834652
127	3.148834652
128	3.148834652
129	3.148834652
130	3.148834652
131	3.148834652
132	3.148834652
133	3.148834652
134	3.148834652
135	3.148834652
136	3.148834652
137	3.148834652
138	3.148834652
139	3.148834652
140	3.148834652
141	3.148834652
142	3.148834652
143	3.148834652
144	3.148834652
145	3.148834652
146	3.148834652
147	3.148834652
148	3.148834652
149	3.148834652
150	3.148834652
151	3.148834652
152	3.148834652
153	3.148834652
154	3.148834652
155	3.148834652
156	3.148834652
157	3.148834652
158	3.148834652
159	3.148834652
160	3.148834652
161	3.148834652
162	3.148834652
163	3.148834652
164	3.148834652
165	3.148834652
166	3.148834652
167	3.148834652
168	3.148834652
169	3.148834652
170	3.148834652
171	3.148834652
172	3.148834652
173	3.148834652
174	3.148834652
175	3.148834652
176	3.148834652
177	3.148834652
178	3.148834652
179	3.148834652
180	3.148834652
181	3.148834652
182	3.148834652
183	3.148834652
184	3.148834652
185	3.148834652
186	3.148834652
187	2.55084761
188	2.524937614
189	2.51683306
190	2.512696319
191	2.510474886
